import time: self [us] | cumulative | imported package
import time:       809 |     209592 |           google.api_core.retry.retry_base
import time:       456 |        456 |           google.api_core.retry.retry_unary
import time:       436 |        436 |           google.api_core.retry.retry_unary_async
import time:       442 |        442 |           google.api_core.retry.retry_streaming
import time:       449 |        449 |           google.api_core.retry.retry_streaming_async
import time:       495 |        495 |             google.protobuf.timestamp_pb2
import time:       967 |       1462 |           google.api_core.datetime_helpers
import time:       473 |     213305 |         google.api_core.retry
import time:       491 |        491 |         google.api_core.timeout
import time:       641 |     254264 |       google.api_core.gapic_v1.config
import time:       325 |        325 |         google.api_core.retry_async
import time:       335 |        660 |       google.api_core.gapic_v1.config_async
import time:       722 |        722 |             google.auth._helpers
import time:       972 |        972 |             google.auth._regional_access_boundary_utils
import time:       380 |        380 |             google.auth.metrics
import time:       381 |        381 |             google.auth._credentials_base
import time:       413 |        413 |             google.auth._refresh_worker
import time:      1614 |       4480 |           google.auth.credentials
import time:       469 |        469 |             google.auth.transport
import time:       480 |        480 |               google.auth._agent_identity_utils
import time:      1200 |       1680 |             google.auth.transport._mtls_helper
import time:       354 |        354 |             google.oauth2
import time:       530 |        530 |                   google.auth.crypt.base
import time:      1409 |       1409 |                     dataclasses
import time:       423 |        423 |                         cryptography.__about__
import time:       387 |        810 |                       cryptography
import time:       333 |        333 |                           cryptography.hazmat
import time:       399 |        732 |                         cryptography.hazmat.bindings
import time:       887 |        887 |                         _cffi_backend
import time:      4753 |       6371 |                       cryptography.hazmat.bindings._rust
import time:       540 |       7720 |                     cryptography.exceptions
import time:       367 |        367 |                     cryptography.hazmat.backends
import time:       342 |        342 |                     cryptography.hazmat.primitives
import time:       732 |        732 |                       cryptography.utils
import time:      1158 |       1889 |                     cryptography.hazmat.primitives.hashes
import time:       714 |        714 |                       cryptography.hazmat.primitives._serialization
import time:       388 |        388 |                       cryptography.hazmat.primitives.serialization.base
import time:       306 |        306 |                         cryptography.hazmat.primitives.asymmetric
import time:       594 |        594 |                           cryptography.hazmat.primitives.asymmetric.utils
import time:       572 |       1166 |                         cryptography.hazmat.primitives.asymmetric.dsa
import time:      1304 |       1304 |                           cryptography.hazmat._oid
import time:       829 |       2132 |                         cryptography.hazmat.primitives.asymmetric.ec
import time:       441 |        441 |                         cryptography.hazmat.primitives.asymmetric.ed25519
import time:       379 |        379 |                           cryptography.hazmat.primitives._asymmetric
import time:       779 |        779 |                           cryptography.hazmat.primitives.asymmetric.rsa
import time:      1956 |       3113 |                         cryptography.hazmat.primitives.asymmetric.padding
import time:       395 |        395 |                           cryptography.hazmat.primitives._cipheralgorithm
import time:       293 |        293 |                                   cryptography.hazmat.decrepit
import time:       469 |        762 |                                 cryptography.hazmat.decrepit.ciphers
import time:       558 |        558 |                                 cryptography.hazmat.primitives._modes
import time:       535 |       1853 |                               cryptography.hazmat.decrepit.ciphers.modes
import time:       670 |        670 |                                 cryptography.hazmat.decrepit.ciphers.algorithms
import time:       606 |       1275 |                               cryptography.hazmat.primitives.ciphers.algorithms
import time:       793 |       3920 |                             cryptography.hazmat.primitives.ciphers.modes
import time:      1700 |       5619 |                           cryptography.hazmat.primitives.ciphers.base
import time:       368 |       6382 |                         cryptography.hazmat.primitives.ciphers
import time:       171 |        171 |                         bcrypt
import time:      3432 |      17138 |                       cryptography.hazmat.primitives.serialization.ssh
import time:       391 |      18630 |                     cryptography.hazmat.primitives.serialization
import time:       928 |        928 |                       cryptography.x509.certificate_transparency
import time:       304 |        304 |                       cryptography.x509.oid
import time:     16498 |      16498 |                           cryptography.x509.name
import time:       869 |      17367 |                         cryptography.x509.general_name
import time:       360 |      17726 |                       cryptography.x509.verification
import time:       592 |        592 |                         cryptography.hazmat.primitives.asymmetric.ed448
import time:       568 |        568 |                         cryptography.hazmat.primitives.asymmetric.x448
import time:       476 |        476 |                         cryptography.hazmat.primitives.asymmetric.x25519
import time:       740 |        740 |                           cryptography.hazmat.primitives.asymmetric.dh
import time:       796 |        796 |                           cryptography.hazmat.primitives.asymmetric.mldsa
import time:       643 |        643 |                           cryptography.hazmat.primitives.asymmetric.mlkem
import time:       634 |       2812 |                         cryptography.hazmat.primitives.asymmetric.types
import time:       389 |        389 |                           cryptography.hazmat.primitives.constant_time
import time:      3674 |       4063 |                         cryptography.x509.extensions
import time:      1412 |       9920 |                       cryptography.x509.base
import time:       727 |      29602 |                     cryptography.x509
import time:       527 |        527 |                           cryptography.hazmat.bindings.openssl
import time:       830 |        830 |                             cryptography.hazmat.bindings.openssl._conditional
import time:      3775 |       4605 |                           cryptography.hazmat.bindings.openssl.binding
import time:       817 |       5948 |                         cryptography.hazmat.backends.openssl.backend
import time:       503 |       6451 |                       cryptography.hazmat.backends.openssl
import time:        34 |       6484 |                     cryptography.hazmat.backends.openssl.backend
import time:      1607 |      68045 |                   google.auth.crypt.es
import time:       485 |        485 |                   google.auth.crypt.es256
import time:       523 |        523 |                     google.auth.crypt._cryptography_rsa
import time:       507 |       1030 |                   google.auth.crypt.rsa
import time:       577 |      70665 |                 google.auth.crypt
import time:       313 |      70978 |               google.auth._service_account_info
import time:       475 |        475 |                 google.auth._exponential_backoff
import time:       463 |        938 |               google.auth.iam
import time:       411 |        411 |                 google.auth._cache
import time:       928 |       1339 |               google.auth.jwt
import time:       509 |        509 |               google.oauth2._client
import time:      1061 |      74823 |             google.oauth2.service_account
import time:       713 |      78036 |           google.auth.transport.grpc
import time:       890 |        890 |           google.auth.transport.requests
import time:      1249 |      84654 |         google.api_core.grpc_helpers
import time:       605 |      85258 |       google.api_core.gapic_v1.method
import time:      1603 |       1603 |         google.api_core.grpc_helpers_async
import time:       389 |       1992 |       google.api_core.gapic_v1.method_async
import time:       413 |        413 |       google.api_core.gapic_v1.routing_header
import time:       657 |     410305 |     google.api_core.gapic_v1
import time:       392 |        392 |               google.cloud.aiplatform_v1.gapic_version
import time:       316 |        316 |                 google.cloud.aiplatform_v1.services
import time:       367 |        367 |                   google.auth.transport.mtls
import time:       425 |        425 |                   google.api_core.client_logging
import time:      3108 |       3108 |                           google.protobuf.descriptor_pb2
import time:       669 |        669 |                                     google.protobuf.field_mask_pb2
import time:       714 |        714 |                                     google.protobuf.struct_pb2
import time:       717 |        717 |                                     google.protobuf.wrappers_pb2
import time:       133 |        133 |                                       google.protobuf.pyext._message
import time:       448 |        581 |                                     proto.marshal.compat
import time:       313 |        313 |                                         proto.utils
import time:       627 |        940 |                                       proto.marshal.collections.maps
import time:       550 |        550 |                                       proto.marshal.collections.repeated
