Package Name,APIs Populated,Detected Type,Has Mypy Post-Processing
google-cloud-auditmanager,True,GAPIC_AUTO,False
google-cloud-automl,True,GAPIC_AUTO,False
google-cloud-backupdr,True,GAPIC_AUTO,False
google-cloud-bare-metal-solution,True,GAPIC_AUTO,False
google-cloud-batch,True,GAPIC_AUTO,False
google-cloud-beyondcorp-appconnections,True,GAPIC_AUTO,False
google-cloud-beyondcorp-appconnectors,True,GAPIC_AUTO,False
google-cloud-beyondcorp-appgateways,True,GAPIC_AUTO,False
google-cloud-beyondcorp-clientconnectorservices,True,GAPIC_AUTO,False
google-cloud-beyondcorp-clientgateways,True,GAPIC_AUTO,False
google-cloud-biglake,True,GAPIC_AUTO,False
google-cloud-biglake-hive,True,GAPIC_AUTO,False
google-cloud-bigquery,False,Handwritten,False
google-cloud-bigquery-analyticshub,True,GAPIC_AUTO,False
google-cloud-bigquery-biglake,True,GAPIC_AUTO,False
google-cloud-bigquery-connection,True,GAPIC_AUTO,False
google-cloud-bigquery-data-exchange,True,GAPIC_AUTO,False
google-cloud-bigquery-datapolicies,True,GAPIC_AUTO,False
google-cloud-bigquery-datatransfer,True,GAPIC_AUTO,False
google-cloud-bigquery-logging,True,GAPIC_AUTO,False
google-cloud-bigquery-migration,True,GAPIC_AUTO,False
google-cloud-bigquery-reservation,True,GAPIC_AUTO,False
google-cloud-bigquery-storage,True,Hybrid,True
google-cloud-bigtable,True,Hybrid,True
google-cloud-billing,True,GAPIC_AUTO,False
google-cloud-billing-budgets,True,GAPIC_AUTO,False
google-cloud-binary-authorization,True,GAPIC_AUTO,False
google-cloud-build,True,GAPIC_AUTO,False
google-cloud-capacityplanner,True,GAPIC_AUTO,False
google-cloud-certificate-manager,True,GAPIC_AUTO,False
google-cloud-ces,True,GAPIC_AUTO,False
google-cloud-channel,True,GAPIC_AUTO,False
google-cloud-chronicle,True,GAPIC_AUTO,False
google-cloud-cloudcontrolspartner,True,GAPIC_AUTO,False
google-cloud-cloudsecuritycompliance,True,GAPIC_AUTO,False
google-cloud-commerce-consumer-procurement,True,GAPIC_AUTO,False
google-cloud-common,True,GAPIC_AUTO,False
google-cloud-compute,True,GAPIC_AUTO,False
google-cloud-compute-v1beta,True,GAPIC_AUTO,False
google-cloud-confidentialcomputing,True,GAPIC_AUTO,False
google-cloud-config,True,GAPIC_AUTO,False
google-cloud-configdelivery,True,GAPIC_AUTO,False
google-cloud-contact-center-insights,True,GAPIC_AUTO,False
google-cloud-container,True,GAPIC_AUTO,False
google-cloud-containeranalysis,True,GAPIC_AUTO,False
google-cloud-contentwarehouse,True,GAPIC_AUTO,False
google-cloud-core,False,Handwritten,False
google-cloud-data-fusion,True,GAPIC_AUTO,False
google-cloud-data-qna,True,GAPIC_AUTO,False
google-cloud-databasecenter,True,GAPIC_AUTO,False
google-cloud-datacatalog,True,GAPIC_AUTO,False
google-cloud-datacatalog-lineage,True,GAPIC_AUTO,False
google-cloud-datacatalog-lineage-configmanagement,True,GAPIC_AUTO,False
google-cloud-dataflow-client,True,GAPIC_AUTO,False
google-cloud-dataform,True,GAPIC_AUTO,False
google-cloud-datalabeling,True,GAPIC_AUTO,False
google-cloud-dataplex,True,GAPIC_AUTO,False
google-cloud-dataproc,True,GAPIC_AUTO,False
google-cloud-dataproc-metastore,True,GAPIC_AUTO,False
google-cloud-datastore,True,Hybrid,True
google-cloud-datastream,True,GAPIC_AUTO,False
google-cloud-deploy,True,GAPIC_AUTO,False
google-cloud-developerconnect,True,GAPIC_AUTO,False
google-cloud-devicestreaming,True,GAPIC_AUTO,False
google-cloud-dialogflow,True,GAPIC_AUTO,False
google-cloud-dialogflow-cx,True,GAPIC_AUTO,False
google-cloud-discoveryengine,True,GAPIC_AUTO,False
google-cloud-dlp,True,GAPIC_AUTO,False
google-cloud-dms,True,GAPIC_AUTO,False
google-cloud-dns,False,Handwritten,False
google-cloud-documentai,True,GAPIC_AUTO,False
google-cloud-documentai-toolbox,False,Handwritten,False
google-cloud-domains,True,GAPIC_AUTO,False
google-cloud-edgecontainer,True,GAPIC_AUTO,False
google-cloud-edgenetwork,True,GAPIC_AUTO,False
google-cloud-enterpriseknowledgegraph,True,GAPIC_AUTO,False
google-cloud-error-reporting,True,Hybrid,True
google-cloud-essential-contacts,True,GAPIC_AUTO,False
google-cloud-eventarc,True,GAPIC_AUTO,False
google-cloud-eventarc-publishing,True,GAPIC_AUTO,False
google-cloud-filestore,True,GAPIC_AUTO,False
google-cloud-financialservices,True,GAPIC_AUTO,False
google-cloud-firestore,True,Hybrid,True
google-cloud-functions,True,GAPIC_AUTO,False
google-cloud-gdchardwaremanagement,True,GAPIC_AUTO,False
google-cloud-geminidataanalytics,True,GAPIC_AUTO,False
google-cloud-gke-backup,True,GAPIC_AUTO,False
google-cloud-gke-connect-gateway,True,GAPIC_AUTO,False
google-cloud-gke-hub,True,GAPIC_AUTO,False
google-cloud-gke-multicloud,True,GAPIC_AUTO,False
google-cloud-gkerecommender,True,GAPIC_AUTO,False
